id,full_name,html_url,stargazers_count,created_at,updated_at,primary_language,releases
MDEwOlJlcG9zaXRvcnkxNzgwNDU4NA==,winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,16780,2014-03-16T17:25:43Z,2025-09-11T05:53:51Z,Java,0
MDEwOlJlcG9zaXRvcnk2OTk1MzQ0NQ==,shuzheng/zheng,https://github.com/shuzheng/zheng,16730,2016-10-04T10:07:06Z,2025-09-12T12:46:47Z,Java,0
R_kgDOHMKsgg,Grasscutters/Grasscutter,https://github.com/Grasscutters/Grasscutter,16663,2022-04-17T12:43:46Z,2025-09-14T17:55:08Z,Java,20
MDEwOlJlcG9zaXRvcnkxNzQ3NjU2NDc=,heibaiying/BigData-Notes,https://github.com/heibaiying/BigData-Notes,16646,2019-03-10T01:40:01Z,2025-09-14T09:11:30Z,Java,0
MDEwOlJlcG9zaXRvcnk4MTA1Nzg0Mg==,JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,16555,2017-02-06T07:02:25Z,2025-09-14T17:46:17Z,Java,0
MDEwOlJlcG9zaXRvcnkxOTA5NjQ4NjE=,gyoogle/tech-interview-for-developer,https://github.com/gyoogle/tech-interview-for-developer,16519,2019-06-09T04:42:57Z,2025-09-14T15:49:31Z,Java,0
MDEwOlJlcG9zaXRvcnk1MzQ5NTY1,prestodb/presto,https://github.com/prestodb/presto,16498,2012-08-09T01:03:37Z,2025-09-14T05:17:02Z,Java,12
MDEwOlJlcG9zaXRvcnkxOTI1NzQyMg==,questdb/questdb,https://github.com/questdb/questdb,16088,2014-04-28T23:29:15Z,2025-09-14T19:16:36Z,Java,93
MDEwOlJlcG9zaXRvcnkxMTI3MTc5NjM=,android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed,15824,2017-12-01T09:00:58Z,2025-09-14T08:19:24Z,Java,50
MDEwOlJlcG9zaXRvcnk2NjE3OTc2NQ==,dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,15791,2016-08-21T03:39:06Z,2025-09-12T02:57:45Z,Java,0
MDEwOlJlcG9zaXRvcnkyMzExMjUyNg==,android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,15564,2014-08-19T14:09:26Z,2025-09-14T12:48:15Z,Java,0
MDEwOlJlcG9zaXRvcnk2MjA3MTY3,mockito/mockito,https://github.com/mockito/mockito,15274,2012-10-13T20:27:12Z,2025-09-14T08:44:03Z,Java,222
MDEwOlJlcG9zaXRvcnkyMzQxODUxNw==,apache/hadoop,https://github.com/apache/hadoop,15258,2014-08-28T07:00:08Z,2025-09-14T20:32:03Z,Java,0
MDEwOlJlcG9zaXRvcnkyNTIwMTM2MQ==,Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,15212,2014-10-14T10:26:46Z,2025-09-13T13:02:44Z,Java,61
MDEwOlJlcG9zaXRvcnk2NjUwNTM5,neo4j/neo4j,https://github.com/neo4j/neo4j,15060,2012-11-12T08:46:15Z,2025-09-14T17:59:05Z,Java,72
MDEwOlJlcG9zaXRvcnkxMzk5MTQ5MzI=,quarkusio/quarkus,https://github.com/quarkusio/quarkus,14962,2018-07-06T00:44:20Z,2025-09-14T18:39:04Z,Java,415
MDEwOlJlcG9zaXRvcnkxNjM3MjExOTI=,zhisheng17/flink-learning,https://github.com/zhisheng17/flink-learning,14929,2019-01-01T07:38:28Z,2025-09-14T16:15:25Z,Java,0
MDEwOlJlcG9zaXRvcnk2MjExNzgxMg==,apache/pulsar,https://github.com/apache/pulsar,14847,2016-06-28T07:00:03Z,2025-09-14T21:09:25Z,Java,112
MDEwOlJlcG9zaXRvcnkzMjg0NDQ1Ng==,java-decompiler/jd-gui,https://github.com/java-decompiler/jd-gui,14733,2015-03-25T05:28:41Z,2025-09-14T21:00:53Z,Java,18
MDEwOlJlcG9zaXRvcnkxMDkwMzEx,elastic/logstash,https://github.com/elastic/logstash,14632,2010-11-18T01:31:50Z,2025-09-14T02:19:38Z,Java,206
MDEwOlJlcG9zaXRvcnkxOTExNTIz,eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,14568,2011-06-17T14:54:55Z,2025-09-14T23:00:28Z,Java,0
